medianame	source_url	domain	country	bias	factual
The Post and Courier	http://www.postandcourier.com/	www.postandcourier.com	USA	center	high
Second Nexus	https://secondnexus.com	secondnexus.com	USA	left	mostly factual
SWI - Swissinfo.ch	https://www.swissinfo.ch/	www.swissinfo.ch	None	leftcenter	high
TdtAlliance.com	https://www.tdtalliance.com/	www.tdtalliance.com	None	extremeright	questionable source
San Jose Mercury News	https://www.mercurynews.com/	www.mercurynews.com	USA	leftcenter	high
China Global Television Network (CGTN)	https://america.cgtn.com/	america.cgtn.com	China	leftcenter	mixed
Arc Digital	https://arcdigital.media/	arcdigital.media	USA	center	high
Sonoran News	http://sonorannews.com/	sonorannews.com	USA	right	mixed
Americans for Prosperity	https://americansforprosperity.org/	americansforprosperity.org	USA	right	mixed
Splinter	https://splinternews.com	splinternews.com	USA	left	mixed
Gulf News	http://gulfnews.com/	gulfnews.com	None	rightcenter	high
How-To Geek	https://www.howtogeek.com	www.howtogeek.com	USA	center	very high
LifeZette	https://www.lifezette.com	www.lifezette.com	USA	right	mixed
Ottawa Sun	https://ottawasun.com/	ottawasun.com	Canada	rightcenter	high
OC Weekly	http://www.ocweekly.com/	www.ocweekly.com	USA	leftcenter	high
The Duran	https://theduran.com/	theduran.com	Cyrpus	extremeright	low
Daily Caller	https://dailycaller.com	dailycaller.com	USA	right	mixed
USA Spending	https://www.usaspending.gov/	www.usaspending.gov	USA	center	very high
Jacobin	https://www.jacobinmag.com/	www.jacobinmag.com	USA	left	high
Wear Your Voice	https://wearyourvoicemag.com	wearyourvoicemag.com	None	left	high
Student Daily News	https://www.studentnewsdaily.com/	www.studentnewsdaily.com	None	rightcenter	high
Church Militant	https://www.churchmilitant.com/	www.churchmilitant.com	USA	extremeright	mixed
StrategyPage	https://www.strategypage.com	www.strategypage.com	None	center	high
The Daily Wire	https://www.dailywire.com	www.dailywire.com	USA	right	mixed
Berkshire Eagle	https://www.berkshireeagle.com/	www.berkshireeagle.com	USA	leftcenter	high
News24 (South Africa)	None	None	South Africa	center	high
Chicago Reader	https://www.chicagoreader.com/	www.chicagoreader.com	None	left	high
National Conference of State Legislatures (NCSL)	http://www.ncsl.org	www.ncsl.org	USA	center	high
YaleGlobal Online	https://yaleglobal.yale.edu	yaleglobal.yale.edu	USA	leftcenter	high
Guardians of Democracy	https://theguardiansofdemocracy.com/	theguardiansofdemocracy.com	USA	left	mixed
Hoax Slayer	https://www.hoax-slayer.net/	www.hoax-slayer.net	Australia	center	very high
East Bay Times	https://www.eastbaytimes.com/	www.eastbaytimes.com	None	leftcenter	high
Jewish News Syndicate (JNS)	https://www.jns.org	www.jns.org	USA	rightcenter	high
Patriotic Viral News	http://patrioticviralnews.com/	patrioticviralnews.com	None	extremeright	questionable source
DC Statesman	http://www.dcstatesman.com/	www.dcstatesman.com	None	right	mixed
Republicans Suck	http://republicanssucks.org	republicanssucks.org	None	left	mixed
The List	https://www.thelist.com/	www.thelist.com	USA	leftcenter	mixed
Energy Citizens	https://energycitizens.org/	energycitizens.org	None	right	mixed
TheGreggJarrett.com	https://thegreggjarrett.com/	thegreggjarrett.com	USA	right	mixed
Euractiv	http://www.euractiv.com/	www.euractiv.com	None	leftcenter	mixed
San Diego Reader	https://www.sandiegoreader.com	www.sandiegoreader.com	USA	leftcenter	high
Red Pepper	http://www.redpepper.org.uk/	www.redpepper.org.uk	None	left	high
The Scotsman	http://www.scotsman.com	www.scotsman.com	None	center	high
WSVN.com	https://wsvn.com	wsvn.com	USA	leftcenter	high
The Defcon Warning System	https://www.defconwarningsystem.com	www.defconwarningsystem.com	None	center	high
The Conservative Woman	https://www.conservativewoman.co.uk	www.conservativewoman.co.uk	None	right	mixed
KMOV	http://www.kmov.com/	www.kmov.com	None	leftcenter	high
MinnPost	https://www.minnpost.com	www.minnpost.com	USA	leftcenter	high
Cheddar	https://cheddar.com	cheddar.com	USA	leftcenter	high
Left Voice	http://www.leftvoice.org	www.leftvoice.org	Argentina	left	high
The Spokesman-Review	http://www.spokesman.com/	www.spokesman.com	None	rightcenter	high
Yes Magazine	https://www.yesmagazine.org	www.yesmagazine.org	USA	left	high
Polygon	https://www.polygon.com/	www.polygon.com	USA	leftcenter	high
The Daily Defender	http://thedailydefender.com/	thedailydefender.com	None	right	mixed
Darien Times	http://www.darientimes.com/	www.darientimes.com	USA	center	high
Peterson Foundation	http://www.pgpf.org/	www.pgpf.org	None	center	high
Read Conservatives	http://readconservatives.news/	readconservatives.news	None	extremeright	questionable source
Daily Telegraph (UK)	https://www.telegraph.co.uk	www.telegraph.co.uk	United Kingdom	right	mixed
The Next Web	https://thenextweb.com	thenextweb.com	USA	leftcenter	high
Relevant Magazine	https://relevantmagazine.com	relevantmagazine.com	None	center	high
TheSpectator.info	https://thespectator.info/	thespectator.info	USA	extremeright	very low
American Institute for Economic Research	https://aier.org	aier.org	USA	rightcenter	high
News-Gazette	http://www.news-gazette.com/	www.news-gazette.com	USA	rightcenter	high
New Europe	https://www.neweurope.eu/	www.neweurope.eu	None	leftcenter	high
National Association for the Advancement of Colored People (NAACP)	http://www.naacp.org/	www.naacp.org	USA	leftcenter	high
Pants on Fire News	https://pantsonfirenews.com/	pantsonfirenews.com	USA	extremeright	low
Amarillo Globe-News	https://www.amarillo.com	www.amarillo.com	USA	center	high
Radio Free Asia	http://www.rfa.org/english/	www.rfa.org	None	leftcenter	high
OpsLens	http://www.opslens.com/	www.opslens.com	None	right	mixed
State of the Nation 2012	http://stateofthenation2012.com/	stateofthenation2012.com	None	extremeright	questionable source
Boston Globe	https://www.bostonglobe.com/	www.bostonglobe.com	USA	leftcenter	high
Flag & Cross	https://flagandcross.com/	flagandcross.com	USA	extremeright	mixed
Slate	https://slate.com	slate.com	USA	left	high
Christian Science Monitor	http://www.csmonitor.com/	www.csmonitor.com	USA	center	high
Acting Man	http://www.acting-man.com/	www.acting-man.com	None	right	mixed
Atlanta Black Star	https://atlantablackstar.com/	atlantablackstar.com	None	leftcenter	high
Red, White and Right	https://redwhiteandright.com/	redwhiteandright.com	None	extremeright	questionable source
The Bangkok Post	http://www.bangkokpost.com/	www.bangkokpost.com	None	center	high
The Conservative Nut	https://www.theconservativenut.gop	www.theconservativenut.gop	USA	right	mixed
WikiTribune	https://www.wikitribune.com	www.wikitribune.com	None	center	high
Democracy 21	http://www.democracy21.org/	www.democracy21.org	None	leftcenter	high
MoveOn	https://front.moveon.org	front.moveon.org	USA	left	mixed
Washington Blade	http://www.washingtonblade.com/	www.washingtonblade.com	USA	leftcenter	high
The Climate Reality Project	https://www.climaterealityproject.org/	www.climaterealityproject.org	None	left	high
YnetNews	http://www.ynetnews.com/	www.ynetnews.com	None	leftcenter	high
DeSmog	https://www.desmogblog.com/	www.desmogblog.com	None	left	high
(New York) Observer	https://observer.com	observer.com	USA	rightcenter	high
Democracy Guardian	https://democracyguardian.com	democracyguardian.com	USA	left	mostly factual
Electronic Intifada	https://electronicintifada.net/	electronicintifada.net	USA	left	mostly factual
San Francisco Globe	https://sfglobe.com/	sfglobe.com	None	leftcenter	mixed
Indianapolis Star	https://www.indystar.com/	www.indystar.com	USA	center	high
Deadspin	https://deadspin.com/	deadspin.com	USA	left	high
In These Times	https://inthesetimes.com/	inthesetimes.com	USA	left	mostly factual
Niskanen Center	https://niskanencenter.org	niskanencenter.org	None	center	high
Patriot Beacon	https://www.patriotbeacon.com/	www.patriotbeacon.com	None	extremeright	questionable source
